Entity,Code,Year,Deaths - Drug use disorders - Sex: Both - Age: Under 5 (Number),Deaths - Drug use disorders - Sex: Both - Age: 70+ years (Number),Deaths - Drug use disorders - Sex: Both - Age: 15-49 years (Number),Deaths - Drug use disorders - Sex: Both - Age: 50-69 years (Number),Deaths - Drug use disorders - Sex: Both - Age: 5-14 years (Number)
Ecuador,ECU,2003,0,5,24,10,0
Ecuador,ECU,2004,0,5,24,10,0
Ecuador,ECU,2005,0,6,26,11,0
Ecuador,ECU,2006,0,6,26,11,0
Ecuador,ECU,2007,0,6,26,11,0
Ecuador,ECU,2008,0,7,28,12,0
Ecuador,ECU,2009,0,7,29,12,0
Ecuador,ECU,2010,0,7,29,12,0
Ecuador,ECU,2011,0,8,30,12,0
Ecuador,ECU,2012,0,8,30,13,0
Ecuador,ECU,2013,0,9,30,14,0
Ecuador,ECU,2014,0,9,28,14,0
Ecuador,ECU,2015,0,9,30,15,0
Ecuador,ECU,2016,0,10,32,17,0
Ecuador,ECU,2017,0,10,34,17,0
Ecuador,ECU,2018,0,11,35,18,0
Ecuador,ECU,2019,0,11,37,19,0
Egypt,EGY,1990,0,2,18,3,0
Egypt,EGY,1991,0,2,18,3,0
Egypt,EGY,1992,0,2,18,4,0
Egypt,EGY,1993,0,2,20,4,0
Egypt,EGY,1994,0,2,21,4,0
Egypt,EGY,1995,0,2,22,4,0
Egypt,EGY,1996,0,3,23,4,0
Egypt,EGY,1997,0,3,24,4,0
Egypt,EGY,1998,0,3,24,5,0
Egypt,EGY,1999,0,3,25,5,0
Egypt,EGY,2000,0,3,26,5,0
Egypt,EGY,2001,0,3,27,6,0
Egypt,EGY,2002,0,3,28,6,0
Egypt,EGY,2003,0,4,29,7,0
Egypt,EGY,2004,0,4,30,7,0
Egypt,EGY,2005,0,4,31,7,0
Egypt,EGY,2006,0,4,32,8,0
Egypt,EGY,2007,0,4,33,8,0
Egypt,EGY,2008,0,4,34,8,0
Egypt,EGY,2009,0,4,37,9,0
Egypt,EGY,2010,0,4,39,10,0
Egypt,EGY,2011,0,5,43,10,0
Egypt,EGY,2012,0,5,45,11,0
Egypt,EGY,2013,0,5,46,11,0
Egypt,EGY,2014,0,5,47,11,0
Egypt,EGY,2015,0,6,50,13,0
Egypt,EGY,2016,0,6,52,13,0
Egypt,EGY,2017,0,6,56,14,0
Egypt,EGY,2018,0,6,58,15,0
Egypt,EGY,2019,0,7,60,15,0
El Salvador,SLV,1990,0,1,4,2,0
El Salvador,SLV,1991,0,1,4,2,0
El Salvador,SLV,1992,0,1,5,2,0
El Salvador,SLV,1993,0,1,5,2,0
El Salvador,SLV,1994,0,1,5,3,0
El Salvador,SLV,1995,0,1,5,3,0
El Salvador,SLV,1996,0,1,5,3,0
El Salvador,SLV,1997,0,2,6,4,0
El Salvador,SLV,1998,0,2,5,3,0
El Salvador,SLV,1999,0,1,4,2,0
El Salvador,SLV,2000,0,1,4,2,0
El Salvador,SLV,2001,0,1,4,2,0
El Salvador,SLV,2002,0,1,3,2,0
El Salvador,SLV,2003,0,1,3,1,0
El Salvador,SLV,2004,0,1,3,1,0
El Salvador,SLV,2005,0,1,4,1,0
El Salvador,SLV,2006,0,1,4,1,0
El Salvador,SLV,2007,0,1,4,1,0
El Salvador,SLV,2008,0,1,4,2,0
El Salvador,SLV,2009,0,2,4,2,0
El Salvador,SLV,2010,0,2,4,2,0
El Salvador,SLV,2011,0,2,4,2,0
El Salvador,SLV,2012,0,2,4,2,0
El Salvador,SLV,2013,0,2,4,2,0
El Salvador,SLV,2014,0,2,5,2,0
El Salvador,SLV,2015,0,2,5,2,0
El Salvador,SLV,2016,0,2,5,3,0
El Salvador,SLV,2017,0,2,6,3,0
El Salvador,SLV,2018,0,3,6,3,0
El Salvador,SLV,2019,0,3,6,3,0
England,,1990,0,31,615,92,0
England,,1991,0,32,648,91,0
England,,1992,0,33,691,92,0
England,,1993,0,35,735,91,0
England,,1994,0,36,811,92,0
England,,1995,0,37,895,94,0
England,,1996,0,39,1001,97,0
England,,1997,0,41,1128,105,0
England,,1998,0,43,1277,113,0
England,,1999,0,45,1399,120,0
England,,2000,0,45,1433,126,0
England,,2001,0,48,1458,134,0
England,,2002,0,48,1442,138,0
England,,2003,0,50,1423,145,0
England,,2004,0,50,1427,157,0
England,,2005,0,51,1453,171,0
England,,2006,0,53,1512,185,0
England,,2007,0,55,1574,202,0
England,,2008,0,59,1631,220,0
England,,2009,0,60,1611,233,0
England,,2010,0,63,1560,247,0
England,,2011,0,65,1492,261,0
England,,2012,0,69,1464,278,0
England,,2013,0,73,1515,304,0
England,,2014,0,77,1550,336,0
England,,2015,0,82,1579,369,0
England,,2016,0,84,1585,392,0
England,,2017,0,87,1550,403,0
England,,2018,0,89,1473,388,0
England,,2019,0,91,1438,384,0
Equatorial Guinea,GNQ,1990,0,0,1,0,0
Equatorial Guinea,GNQ,1991,0,0,1,0,0
Equatorial Guinea,GNQ,1992,0,0,1,0,0
Equatorial Guinea,GNQ,1993,0,0,1,0,0
Equatorial Guinea,GNQ,1994,0,0,1,0,0
Equatorial Guinea,GNQ,1995,0,0,1,0,0
Equatorial Guinea,GNQ,1996,0,0,1,0,0
Equatorial Guinea,GNQ,1997,0,0,1,0,0
Equatorial Guinea,GNQ,1998,0,0,1,0,0
Equatorial Guinea,GNQ,1999,0,0,1,0,0
Equatorial Guinea,GNQ,2000,0,0,1,0,0
Equatorial Guinea,GNQ,2001,0,0,1,0,0
Equatorial Guinea,GNQ,2002,0,0,1,0,0
Equatorial Guinea,GNQ,2003,0,0,1,0,0
Equatorial Guinea,GNQ,2004,0,0,1,0,0
Equatorial Guinea,GNQ,2005,0,0,1,0,0
Equatorial Guinea,GNQ,2006,0,0,1,0,0
Equatorial Guinea,GNQ,2007,0,0,1,0,0
Equatorial Guinea,GNQ,2008,0,0,1,0,0
Equatorial Guinea,GNQ,2009,0,0,2,0,0
Equatorial Guinea,GNQ,2010,0,0,2,0,0
Equatorial Guinea,GNQ,2011,0,0,2,0,0
Equatorial Guinea,GNQ,2012,0,0,2,0,0
Equatorial Guinea,GNQ,2013,0,0,2,0,0
Equatorial Guinea,GNQ,2014,0,0,2,0,0
Equatorial Guinea,GNQ,2015,0,0,3,0,0
Equatorial Guinea,GNQ,2016,0,0,3,0,0
Equatorial Guinea,GNQ,2017,0,0,3,0,0
Equatorial Guinea,GNQ,2018,0,1,3,0,0
Equatorial Guinea,GNQ,2019,0,1,4,0,0
Eritrea,ERI,1990,0,0,2,1,0
Eritrea,ERI,1991,0,0,3,1,0
Eritrea,ERI,1992,0,0,3,1,0
Eritrea,ERI,1993,0,0,3,1,0
Eritrea,ERI,1994,0,0,3,1,0
Eritrea,ERI,1995,0,0,4,1,0
Eritrea,ERI,1996,0,0,4,1,0
Eritrea,ERI,1997,0,0,4,1,0
Eritrea,ERI,1998,0,0,5,1,0
Eritrea,ERI,1999,0,0,5,1,0
Eritrea,ERI,2000,0,0,5,1,0
Eritrea,ERI,2001,0,0,5,1,0
Eritrea,ERI,2002,0,0,6,1,0
Eritrea,ERI,2003,0,1,6,1,0
Eritrea,ERI,2004,0,1,7,1,0
Eritrea,ERI,2005,0,1,7,1,0
Eritrea,ERI,2006,0,1,8,1,0
Eritrea,ERI,2007,0,1,8,1,0
Eritrea,ERI,2008,0,1,8,1,0
Eritrea,ERI,2009,0,1,9,1,0
Eritrea,ERI,2010,0,1,9,1,0
Eritrea,ERI,2011,0,1,9,1,0
Eritrea,ERI,2012,0,1,10,1,0
Eritrea,ERI,2013,0,1,10,1,0
Eritrea,ERI,2014,0,1,10,1,0
Eritrea,ERI,2015,0,1,11,1,0
Eritrea,ERI,2016,0,1,11,2,0
Eritrea,ERI,2017,0,1,12,2,0
Eritrea,ERI,2018,0,1,12,2,0
Eritrea,ERI,2019,0,1,13,2,0
Estonia,EST,1990,0,0,19,4,0
Estonia,EST,1991,0,0,21,4,0
Estonia,EST,1992,0,0,21,4,0
Estonia,EST,1993,0,1,23,5,0
Estonia,EST,1994,0,1,25,5,0
Estonia,EST,1995,0,0,25,4,0
Estonia,EST,1996,0,0,24,4,0
Estonia,EST,1997,0,1,25,4,0
Estonia,EST,1998,0,1,30,5,0
Estonia,EST,1999,0,1,34,5,0
Estonia,EST,2000,0,1,40,6,0
Estonia,EST,2001,0,1,48,6,0
Estonia,EST,2002,0,1,58,7,0
Estonia,EST,2003,0,1,58,6,0
Estonia,EST,2004,0,1,68,7,0
Estonia,EST,2005,0,1,69,7,0
Estonia,EST,2006,0,1,76,8,0
Estonia,EST,2007,0,2,90,9,0
Estonia,EST,2008,0,2,90,9,0
Estonia,EST,2009,0,2,97,9,0
Estonia,EST,2010,0,2,94,9,0
Estonia,EST,2011,0,2,103,10,0
Estonia,EST,2012,0,3,112,10,0
Estonia,EST,2013,0,3,100,10,0
Estonia,EST,2014,0,3,99,10,0
Estonia,EST,2015,0,3,96,10,0
Estonia,EST,2016,0,3,101,11,0
Estonia,EST,2017,0,3,107,12,0
Estonia,EST,2018,0,3,110,12,0
Estonia,EST,2019,0,4,113,12,0
Eswatini,SWZ,1990,0,0,1,1,0
Eswatini,SWZ,1991,0,0,1,1,0
Eswatini,SWZ,1992,0,0,1,1,0
Eswatini,SWZ,1993,0,0,1,1,0
Eswatini,SWZ,1994,0,0,1,1,0
Eswatini,SWZ,1995,0,0,1,1,0
Eswatini,SWZ,1996,0,0,1,1,0
Eswatini,SWZ,1997,0,0,2,1,0
Eswatini,SWZ,1998,0,0,2,1,0
Eswatini,SWZ,1999,0,0,2,1,0
Eswatini,SWZ,2000,0,0,2,1,0
Eswatini,SWZ,2001,0,0,2,1,0
Eswatini,SWZ,2002,0,0,2,1,0
Eswatini,SWZ,2003,0,0,3,1,0
Eswatini,SWZ,2004,0,0,3,1,0
Eswatini,SWZ,2005,0,0,3,1,0
Eswatini,SWZ,2006,0,0,3,1,0
Eswatini,SWZ,2007,0,0,3,1,0
Eswatini,SWZ,2008,0,0,3,1,0
Eswatini,SWZ,2009,0,0,3,1,0
Eswatini,SWZ,2010,0,0,3,1,0
Eswatini,SWZ,2011,0,0,3,1,0
Eswatini,SWZ,2012,0,0,3,1,0
Eswatini,SWZ,2013,0,0,3,1,0
Eswatini,SWZ,2014,0,0,3,1,0
Eswatini,SWZ,2015,0,0,3,1,0
Eswatini,SWZ,2016,0,0,3,1,0
Eswatini,SWZ,2017,0,0,3,1,0
Eswatini,SWZ,2018,0,0,3,1,0
Eswatini,SWZ,2019,0,0,3,1,0
Ethiopia,ETH,1990,0,17,78,21,0
Ethiopia,ETH,1991,0,17,81,21,0
Ethiopia,ETH,1992,0,18,85,21,0
Ethiopia,ETH,1993,0,19,87,21,0
Ethiopia,ETH,1994,0,19,89,21,0
Ethiopia,ETH,1995,0,19,91,21,0
Ethiopia,ETH,1996,0,19,91,20,0
Ethiopia,ETH,1997,0,19,91,20,0
Ethiopia,ETH,1998,0,20,93,20,0
Ethiopia,ETH,1999,0,20,93,20,0
Ethiopia,ETH,2000,0,21,90,19,0
Ethiopia,ETH,2001,0,21,87,18,0
Ethiopia,ETH,2002,0,21,86,18,0
Ethiopia,ETH,2003,0,22,86,18,0
Ethiopia,ETH,2004,0,22,87,18,0
Ethiopia,ETH,2005,0,23,90,18,0
Ethiopia,ETH,2006,0,24,92,18,0
Ethiopia,ETH,2007,0,25,95,18,0
Ethiopia,ETH,2008,0,27,101,18,0
Ethiopia,ETH,2009,0,31,112,20,0
Ethiopia,ETH,2010,0,30,102,19,0
Ethiopia,ETH,2011,0,32,105,19,0
Ethiopia,ETH,2012,0,32,102,19,0
Ethiopia,ETH,2013,0,33,105,20,0
Ethiopia,ETH,2014,0,35,111,21,0
Ethiopia,ETH,2015,0,36,114,21,0
Ethiopia,ETH,2016,0,38,122,22,0
Ethiopia,ETH,2017,0,40,130,23,0
Ethiopia,ETH,2018,0,43,138,25,0
Ethiopia,ETH,2019,0,45,146,26,0
Europe & Central Asia (WB),,1990,0,769,8881,2501,0
Europe & Central Asia (WB),,1991,0,810,9988,2694,0
Europe & Central Asia (WB),,1992,0,852,11187,2963,0
Europe & Central Asia (WB),,1993,0,927,12655,3336,0
Europe & Central Asia (WB),,1994,0,986,13906,3506,2
Europe & Central Asia (WB),,1995,1,1031,14400,3405,5
Europe & Central Asia (WB),,1996,0,1081,14570,3237,5
Europe & Central Asia (WB),,1997,0,1145,14633,3124,5
Europe & Central Asia (WB),,1998,0,1233,15196,3067,5
Europe & Central Asia (WB),,1999,1,1347,16480,3254,5
Europe & Central Asia (WB),,2000,1,1427,17482,3420,6
Europe & Central Asia (WB),,2001,2,1488,17106,3493,6
Europe & Central Asia (WB),,2002,1,1535,16726,3564,5
Europe & Central Asia (WB),,2003,2,1570,17178,3610,6
Europe & Central Asia (WB),,2004,1,1555,17975,3611,5
Europe & Central Asia (WB),,2005,2,1604,19709,3722,6
Europe & Central Asia (WB),,2006,1,1632,19863,3592,6
Europe & Central Asia (WB),,2007,2,1695,19749,3566,6
Europe & Central Asia (WB),,2008,2,1815,19617,3628,6
Europe & Central Asia (WB),,2009,3,1897,18220,3520,7
Europe & Central Asia (WB),,2010,3,1992,17639,3549,9
Europe & Central Asia (WB),,2011,4,2047,16507,3460,10
Europe & Central Asia (WB),,2012,4,2120,16064,3453,11
Europe & Central Asia (WB),,2013,4,2164,15812,3508,11
Europe & Central Asia (WB),,2014,4,2200,15534,3589,12
Europe & Central Asia (WB),,2015,4,2278,15086,3691,13
Europe & Central Asia (WB),,2016,3,2294,14492,3701,9
Europe & Central Asia (WB),,2017,0,2344,13961,3642,0
Europe & Central Asia (WB),,2018,0,2432,13983,3655,0
Europe & Central Asia (WB),,2019,0,2529,14031,3686,0
European Region (WHO),,1990,0,787,8910,2509,0
European Region (WHO),,1991,0,827,10016,2701,0
European Region (WHO),,1992,0,869,11215,2970,0
European Region (WHO),,1993,0,941,12682,3342,0
European Region (WHO),,1994,0,997,13933,3512,2
European Region (WHO),,1995,1,1040,14427,3411,5
European Region (WHO),,1996,0,1090,14601,3242,5
European Region (WHO),,1997,0,1154,14668,3130,5
European Region (WHO),,1998,0,1243,15239,3074,5
European Region (WHO),,1999,1,1357,16531,3262,5
European Region (WHO),,2000,1,1439,17548,3429,6
European Region (WHO),,2001,2,1500,17179,3503,6
European Region (WHO),,2002,1,1548,16802,3576,5
European Region (WHO),,2003,2,1583,17250,3622,6
European Region (WHO),,2004,1,1567,18042,3622,5
European Region (WHO),,2005,2,1615,19768,3733,6
European Region (WHO),,2006,1,1644,19918,3602,6
European Region (WHO),,2007,2,1707,19803,3577,6
European Region (WHO),,2008,2,1827,19669,3638,6
European Region (WHO),,2009,3,1909,18268,3530,7
European Region (WHO),,2010,3,2004,17683,3559,9
European Region (WHO),,2011,4,2059,16548,3469,10
European Region (WHO),,2012,4,2132,16102,3463,11
European Region (WHO),,2013,4,2177,15852,3518,11
European Region (WHO),,2014,4,2214,15574,3600,12
European Region (WHO),,2015,4,2292,15127,3702,13
European Region (WHO),,2016,3,2309,14535,3712,9
European Region (WHO),,2017,0,2359,14008,3654,0
European Region (WHO),,2018,0,2449,14033,3667,0
European Region (WHO),,2019,0,2547,14083,3699,0
Fiji,FJI,1990,0,0,2,0,0
Fiji,FJI,1991,0,0,2,0,0
Fiji,FJI,1992,0,0,2,0,0
Fiji,FJI,1993,0,0,2,0,0
Fiji,FJI,1994,0,0,2,0,0
Fiji,FJI,1995,0,0,2,0,0
Fiji,FJI,1996,0,0,2,0,0
Fiji,FJI,1997,0,0,2,0,0
Fiji,FJI,1998,0,0,2,0,0
Fiji,FJI,1999,0,0,2,0,0
Fiji,FJI,2000,0,0,2,0,0
Fiji,FJI,2001,0,0,2,0,0
Fiji,FJI,2002,0,0,2,0,0
Fiji,FJI,2003,0,0,2,0,0
Fiji,FJI,2004,0,0,2,0,0
Fiji,FJI,2005,0,0,2,0,0
Fiji,FJI,2006,0,0,2,0,0
Fiji,FJI,2007,0,0,2,0,0
Fiji,FJI,2008,0,0,2,0,0
Fiji,FJI,2009,0,0,2,0,0
Fiji,FJI,2010,0,0,2,0,0
Fiji,FJI,2011,0,0,2,0,0
Fiji,FJI,2012,0,0,2,0,0
Fiji,FJI,2013,0,0,2,0,0
Fiji,FJI,2014,0,0,2,0,0
Fiji,FJI,2015,0,0,2,0,0
Fiji,FJI,2016,0,0,2,1,0
Fiji,FJI,2017,0,0,2,1,0
Fiji,FJI,2018,0,0,2,1,0
Fiji,FJI,2019,0,0,2,1,0
Finland,FIN,1990,0,7,113,34,0
Finland,FIN,1991,0,8,118,36,0
Finland,FIN,1992,0,8,117,37,0
Finland,FIN,1993,0,9,117,39,0
Finland,FIN,1994,0,9,119,40,0
Finland,FIN,1995,0,10,124,44,0
Finland,FIN,1996,0,11,132,49,0
Finland,FIN,1997,0,12,133,52,0
Finland,FIN,1998,0,12,129,52,0
Finland,FIN,1999,0,12,133,54,0
Finland,FIN,2000,0,13,137,56,0
Finland,FIN,2001,0,13,137,58,0
Finland,FIN,2002,0,14,137,61,0
Finland,FIN,2003,0,14,140,65,0
Finland,FIN,2004,0,15,150,73,0
Finland,FIN,2005,0,16,158,80,0
Finland,FIN,2006,0,16,167,83,0
Finland,FIN,2007,0,17,182,87,0
Finland,FIN,2008,0,18,190,89,0
Finland,FIN,2009,0,19,197,88,0
Finland,FIN,2010,0,18,195,86,0
Finland,FIN,2011,0,19,193,84,0
Finland,FIN,2012,0,19,190,81,0
Finland,FIN,2013,0,19,186,79,0
Finland,FIN,2014,0,19,176,75,0
Finland,FIN,2015,0,19,171,74,0
Finland,FIN,2016,0,20,174,73,0
Finland,FIN,2017,0,22,180,76,0
Finland,FIN,2018,0,24,186,76,0
Finland,FIN,2019,0,25,190,76,0
France,FRA,1990,0,130,295,57,0
France,FRA,1991,0,138,334,58,0
France,FRA,1992,0,145,372,60,0
France,FRA,1993,0,154,397,61,0
France,FRA,1994,0,166,414,64,2
France,FRA,1995,0,184,412,68,2
France,FRA,1996,0,207,396,75,2
France,FRA,1997,0,236,372,84,2
France,FRA,1998,0,286,367,97,2
France,FRA,1999,0,328,377,108,2
France,FRA,2000,0,368,414,123,3
France,FRA,2001,1,394,430,130,3
France,FRA,2002,1,414,438,138,3
France,FRA,2003,1,430,456,150,3
France,FRA,2004,1,423,468,155,3
France,FRA,2005,1,436,492,167,3
France,FRA,2006,1,458,509,178,3
France,FRA,2007,1,491,529,190,3
France,FRA,2008,1,548,564,208,3
France,FRA,2009,1,609,590,226,3
France,FRA,2010,1,656,597,242,4
France,FRA,2011,1,702,581,255,4
France,FRA,2012,2,749,559,262,4
France,FRA,2013,2,780,546,274,4
France,FRA,2014,2,799,542,283,5
France,FRA,2015,2,845,548,299,6
France,FRA,2016,0,846,529,294,0
France,FRA,2017,0,879,535,302,0
France,FRA,2018,0,923,552,302,0
France,FRA,2019,0,967,565,307,0
G20,,1990,1,3652,35687,9414,0
G20,,1991,2,4018,39748,10303,0
G20,,1992,0,4283,43250,10968,0
G20,,1993,2,4556,46487,11725,0
G20,,1994,0,4785,50484,12095,2
G20,,1995,1,4956,52965,12128,5
G20,,1996,0,5176,53963,12240,5
G20,,1997,1,5341,54265,12295,5
G20,,1998,0,5501,56103,12448,7
G20,,1999,1,5646,57460,12671,8
G20,,2000,1,5716,58930,12887,10
G20,,2001,3,5541,56520,12675,10
G20,,2002,2,5322,53731,12617,10
G20,,2003,2,4914,51428,12405,12
G20,,2004,1,4630,50704,12419,11
G20,,2005,2,4667,52580,13191,12
G20,,2006,2,4597,52469,13510,11
G20,,2007,3,4602,52068,13906,12
G20,,2008,3,4751,52173,14474,11
G20,,2009,4,4830,51590,15002,15
G20,,2010,4,4943,51749,15740,18
G20,,2011,5,5082,51858,16642,21
G20,,2012,7,5221,52328,17539,22
G20,,2013,8,5515,54243,18801,25
G20,,2014,7,5763,57071,20239,27
G20,,2015,8,6033,60647,21920,28
G20,,2016,7,6318,65831,23576,22
G20,,2017,0,6763,69568,24442,1
G20,,2018,0,7378,71907,25689,0
G20,,2019,0,7980,74549,26840,0
Gabon,GAB,1990,0,1,2,1,0
Gabon,GAB,1991,0,1,3,1,0
Gabon,GAB,1992,0,1,3,1,0
Gabon,GAB,1993,0,1,3,1,0
Gabon,GAB,1994,0,1,3,1,0
Gabon,GAB,1995,0,1,4,1,0
Gabon,GAB,1996,0,1,4,1,0
Gabon,GAB,1997,0,1,4,1,0
Gabon,GAB,1998,0,1,4,1,0
Gabon,GAB,1999,0,1,4,1,0
Gabon,GAB,2000,0,1,4,1,0
Gabon,GAB,2001,0,1,4,1,0
Gabon,GAB,2002,0,1,4,1,0
Gabon,GAB,2003,0,1,5,1,0
Gabon,GAB,2004,0,1,5,1,0
Gabon,GAB,2005,0,1,5,1,0
Gabon,GAB,2006,0,1,5,1,0
Gabon,GAB,2007,0,1,5,1,0
Gabon,GAB,2008,0,1,5,1,0
Gabon,GAB,2009,0,1,5,1,0
Gabon,GAB,2010,0,1,5,1,0
Gabon,GAB,2011,0,1,5,1,0
Gabon,GAB,2012,0,1,5,1,0
Gabon,GAB,2013,0,1,5,1,0
Gabon,GAB,2014,0,1,6,1,0
Gabon,GAB,2015,0,1,6,1,0
Gabon,GAB,2016,0,1,6,2,0
Gabon,GAB,2017,0,1,6,2,0
Gabon,GAB,2018,0,1,6,2,0
Gabon,GAB,2019,0,1,7,2,0
Gambia,GMB,1990,0,0,1,0,0
Gambia,GMB,1991,0,0,1,0,0
Gambia,GMB,1992,0,0,1,0,0
Gambia,GMB,1993,0,0,1,0,0
Gambia,GMB,1994,0,0,1,0,0
Gambia,GMB,1995,0,0,1,0,0
Gambia,GMB,1996,0,0,1,0,0
Gambia,GMB,1997,0,0,1,0,0
Gambia,GMB,1998,0,0,1,0,0
Gambia,GMB,1999,0,0,1,0,0
Gambia,GMB,2000,0,0,1,0,0
Gambia,GMB,2001,0,0,1,0,0
Gambia,GMB,2002,0,0,1,0,0
Gambia,GMB,2003,0,0,1,0,0
Gambia,GMB,2004,0,0,1,0,0
Gambia,GMB,2005,0,0,1,0,0
Gambia,GMB,2006,0,0,1,0,0
Gambia,GMB,2007,0,0,1,0,0
Gambia,GMB,2008,0,0,1,0,0
Gambia,GMB,2009,0,0,1,0,0
Gambia,GMB,2010,0,0,1,0,0
Gambia,GMB,2011,0,0,1,0,0
Gambia,GMB,2012,0,0,1,0,0
Gambia,GMB,2013,0,0,2,0,0
Gambia,GMB,2014,0,0,2,0,0
Gambia,GMB,2015,0,0,2,0,0
Gambia,GMB,2016,0,0,2,0,0
Gambia,GMB,2017,0,0,2,0,0
Gambia,GMB,2018,0,1,2,1,0
Gambia,GMB,2019,0,1,2,1,0
Georgia,GEO,1990,0,2,11,6,0
Georgia,GEO,1991,0,2,12,7,0
Georgia,GEO,1992,0,2,14,7,0
Georgia,GEO,1993,0,2,13,6,0
Georgia,GEO,1994,0,2,12,6,0
Georgia,GEO,1995,0,2,12,5,0
Georgia,GEO,1996,0,2,11,5,0
Georgia,GEO,1997,0,2,11,5,0
Georgia,GEO,1998,0,3,13,6,0
Georgia,GEO,1999,0,3,13,6,0
Georgia,GEO,2000,0,3,11,5,0
Georgia,GEO,2001,0,3,11,5,0
Georgia,GEO,2002,0,3,11,5,0
Georgia,GEO,2003,0,3,10,5,0
Georgia,GEO,2004,0,3,10,5,0
Georgia,GEO,2005,0,3,10,5,0
Georgia,GEO,2006,0,3,10,5,0
Georgia,GEO,2007,0,3,10,4,0
Georgia,GEO,2008,0,3,10,4,0
Georgia,GEO,2009,0,3,9,4,0
Georgia,GEO,2010,0,4,9,5,0
Georgia,GEO,2011,0,4,9,5,0
Georgia,GEO,2012,0,4,9,5,0
Georgia,GEO,2013,0,4,8,5,0
Georgia,GEO,2014,0,4,8,6,0
Georgia,GEO,2015,0,4,8,6,0
Georgia,GEO,2016,0,4,10,6,0
Georgia,GEO,2017,0,5,11,7,0
Georgia,GEO,2018,0,5,12,7,0
Georgia,GEO,2019,0,5,13,8,0
Germany,DEU,1990,0,59,993,87,0
Germany,DEU,1991,0,62,1190,87,0
Germany,DEU,1992,0,64,1295,87,0
Germany,DEU,1993,0,67,1322,88,0
Germany,DEU,1994,0,70,1335,88,0
Germany,DEU,1995,1,71,1339,85,3
Germany,DEU,1996,0,74,1338,86,3
Germany,DEU,1997,0,77,1293,86,3
Germany,DEU,1998,0,83,1270,87,3
Germany,DEU,1999,1,86,1286,94,3
Germany,DEU,2000,1,89,1319,104,3
Germany,DEU,2001,1,92,1274,117,3
Germany,DEU,2002,0,92,1216,125,3
Germany,DEU,2003,1,91,1182,134,3
Germany,DEU,2004,0,88,1123,140,3
Germany,DEU,2005,1,90,1093,154,3
Germany,DEU,2006,0,91,1065,165,3
Germany,DEU,2007,1,94,1069,177,3
Germany,DEU,2008,1,99,1077,192,3
Germany,DEU,2009,1,102,1068,201,3
Germany,DEU,2010,1,105,1051,211,4
Germany,DEU,2011,1,108,1020,222,4
Germany,DEU,2012,2,112,1002,235,4
Germany,DEU,2013,2,119,1014,251,4
Germany,DEU,2014,1,125,1025,266,5
Germany,DEU,2015,2,132,1082,285,4
Germany,DEU,2016,2,138,1117,298,6
Germany,DEU,2017,0,139,1149,298,0
Germany,DEU,2018,0,144,1187,299,0
Germany,DEU,2019,0,150,1229,299,0
Ghana,GHA,1990,0,3,11,3,0
Ghana,GHA,1991,0,3,12,3,0
Ghana,GHA,1992,0,3,13,3,0
Ghana,GHA,1993,0,3,14,3,0
Ghana,GHA,1994,0,3,15,4,0
Ghana,GHA,1995,0,3,15,4,0
Ghana,GHA,1996,0,4,16,4,0
Ghana,GHA,1997,0,4,18,4,0
Ghana,GHA,1998,0,5,20,5,0
Ghana,GHA,1999,0,5,23,6,0
Ghana,GHA,2000,0,6,26,6,0
Ghana,GHA,2001,0,6,25,6,0
Ghana,GHA,2002,0,5,23,6,0
Ghana,GHA,2003,0,4,22,5,0
Ghana,GHA,2004,0,4,21,5,0
Ghana,GHA,2005,0,4,20,4,0
Ghana,GHA,2006,0,3,19,4,0
Ghana,GHA,2007,0,3,19,4,0
Ghana,GHA,2008,0,3,21,4,0
Ghana,GHA,2009,0,4,22,5,0
Ghana,GHA,2010,0,4,24,5,0
Ghana,GHA,2011,0,4,26,6,0
Ghana,GHA,2012,0,5,28,6,0
Ghana,GHA,2013,0,5,30,6,0
Ghana,GHA,2014,0,5,32,7,0
Ghana,GHA,2015,0,5,34,7,0
Ghana,GHA,2016,0,6,37,7,0
Ghana,GHA,2017,0,6,39,8,0
Ghana,GHA,2018,0,7,41,8,0
Ghana,GHA,2019,0,7,42,9,0
Greece,GRC,1990,0,2,51,4,0
Greece,GRC,1991,0,2,66,5,0
Greece,GRC,1992,0,2,85,5,0
Greece,GRC,1993,0,3,99,6,0
Greece,GRC,1994,0,3,132,7,0
Greece,GRC,1995,0,4,165,8,0
Greece,GRC,1996,0,4,196,9,0
Greece,GRC,1997,0,5,226,10,0
Greece,GRC,1998,0,5,252,11,0
Greece,GRC,1999,0,6,281,12,0
Greece,GRC,2000,0,6,315,13,0
Greece,GRC,2001,0,7,333,14,0
Greece,GRC,2002,0,7,313,13,0
Greece,GRC,2003,0,7,305,13,0
Greece,GRC,2004,0,7,312,13,0
Greece,GRC,2005,0,7,324,14,0
Greece,GRC,2006,0,8,325,14,0
Greece,GRC,2007,0,8,322,14,0
Greece,GRC,2008,0,8,304,14,0
Greece,GRC,2009,0,8,297,15,0
Greece,GRC,2010,0,9,267,15,0
Greece,GRC,2011,0,9,238,15,0
Greece,GRC,2012,0,9,213,16,0
Greece,GRC,2013,0,9,187,16,0
Greece,GRC,2014,0,10,170,16,0
Greece,GRC,2015,0,10,167,17,0
Greece,GRC,2016,0,10,159,17,0
